Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,Qatar,QAT,2018,YR2018,..,..,2.426,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.451,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Qatar,QAT,2019,YR2019,..,..,2.484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.509,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Qatar,QAT,2020,YR2020,..,..,2.577,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.603,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Romania,ROU,2017,YR2017,0.489,2.186,2.921,5.97,0.697,0.497,0.358,0.945,0.351,0.073,0.239,0.17,0.123,0.324,0.12,0.025,1.95,1.39,2.64,0.98,0.2,0.494,2.208,2.951,0.046,0.205,0.273,0.9,7.9,11.9,0.2,1.6,2.3
Food Prices for Nutrition Data,FPN,Romania,ROU,2018,YR2018,..,..,2.957,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.987,..,..,..,..,..,6.9,..,..,1.3
Food Prices for Nutrition Data,FPN,Romania,ROU,2019,YR2019,..,..,3.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.04,..,..,..,..,..,8.3,..,..,1.6
Food Prices for Nutrition Data,FPN,Romania,ROU,2020,YR2020,..,..,3.191,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.223,..,..,..,..,..,8.8,..,..,1.7
Food Prices for Nutrition Data,FPN,Russian Federation,RUS,2017,YR2017,0.606,2.215,3.149,5.2,0.745,0.739,0.36,0.98,0.191,0.135,0.237,0.235,0.114,0.311,0.061,0.043,2.07,2.05,2.72,0.53,0.38,0.612,2.237,3.181,0.066,0.241,0.343,0,1,4,0,1.4,5.7
Food Prices for Nutrition Data,FPN,Russian Federation,RUS,2018,YR2018,..,..,3.197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.229,..,..,..,..,..,3.7,..,..,5.3
Food Prices for Nutrition Data,FPN,Russian Federation,RUS,2019,YR2019,..,..,3.264,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.297,..,..,..,..,..,3.1,..,..,4.4
Food Prices for Nutrition Data,FPN,Russian Federation,RUS,2020,YR2020,..,..,3.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.455,..,..,..,..,..,3.5,..,..,5
Food Prices for Nutrition Data,FPN,Rwanda,RWA,2017,YR2017,0.763,1.311,2.609,3.42,0.481,0.303,0.58,0.919,0.136,0.19,0.184,0.116,0.222,0.352,0.052,0.073,0.83,0.52,1.58,0.23,0.33,0.771,1.324,2.635,0.529,0.908,1.808,34.5,66.8,89,4.1,8,10.7
Food Prices for Nutrition Data,FPN,Rwanda,RWA,2018,YR2018,..,..,2.483,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.508,..,..,..,..,..,86.6,..,..,10.7
Food Prices for Nutrition Data,FPN,Rwanda,RWA,2019,YR2019,..,..,2.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.563,..,..,..,..,..,85.2,..,..,10.8
Food Prices for Nutrition Data,FPN,Rwanda,RWA,2020,YR2020,..,..,2.698,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.725,..,..,..,..,..,86.3,..,..,11.2
Food Prices for Nutrition Data,FPN,Sao Tome and Principe,STP,2017,YR2017,0.896,2.569,3.288,3.67,0.241,1.046,0.477,1.015,0.392,0.117,0.073,0.318,0.145,0.309,0.119,0.036,0.51,2.19,2.13,0.82,0.25,0.905,2.595,3.321,0.191,0.548,0.702,16.3,75.7,84.4,0,0.2,0.2
Food Prices for Nutrition Data,FPN,Sao Tome and Principe,STP,2018,YR2018,..,..,3.394,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.428,..,..,..,..,..,84.4,..,..,0.2
Food Prices for Nutrition Data,FPN,Sao Tome and Principe,STP,2019,YR2019,..,..,3.463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.498,..,..,..,..,..,84.3,..,..,0.2
Food Prices for Nutrition Data,FPN,Sao Tome and Principe,STP,2020,YR2020,..,..,3.551,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.587,..,..,..,..,..,84.7,..,..,0.2
Food Prices for Nutrition Data,FPN,Saudi Arabia,SAU,2017,YR2017,0.883,1.752,3.441,3.9,0.739,0.738,0.457,1.031,0.303,0.173,0.215,0.214,0.133,0.3,0.088,0.05,1.62,1.61,2.26,0.66,0.38,0.892,1.77,3.476,0.084,0.167,0.329,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Saudi Arabia,SAU,2018,YR2018,..,..,3.663,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Saudi Arabia,SAU,2019,YR2019,..,..,3.888,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.927,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Saudi Arabia,SAU,2020,YR2020,..,..,4.148,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.19,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Senegal,SEN,2017,YR2017,0.745,1.858,2.19,2.94,0.422,0.677,0.401,0.377,0.124,0.19,0.193,0.309,0.183,0.172,0.057,0.087,1.05,1.69,0.94,0.31,0.47,0.753,1.877,2.212,0.23,0.574,0.677,3.2,42.3,53,0.5,6.5,8.2
Food Prices for Nutrition Data,FPN,Senegal,SEN,2018,YR2018,..,..,2.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.273,..,..,..,..,..,47.3,..,..,7.5
Food Prices for Nutrition Data,FPN,Senegal,SEN,2019,YR2019,..,..,2.278,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.301,..,..,..,..,..,45.5,..,..,7.4
Food Prices for Nutrition Data,FPN,Senegal,SEN,2020,YR2020,..,..,2.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.354,..,..,..,..,..,46,..,..,7.7
Food Prices for Nutrition Data,FPN,Serbia,SRB,2017,YR2017,0.601,2.669,4.07,6.77,0.872,0.92,0.572,0.998,0.612,0.096,0.214,0.226,0.141,0.245,0.15,0.024,1.52,1.61,1.74,1.07,0.17,0.607,2.696,4.111,0.09,0.398,0.608,3.2,15.2,29,0.2,1.1,2
Food Prices for Nutrition Data,FPN,Serbia,SRB,2018,YR2018,..,..,4.149,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.191,..,..,..,..,..,14.9,..,..,1
Food Prices for Nutrition Data,FPN,Serbia,SRB,2019,YR2019,..,..,4.174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.216,..,..,..,..,..,16.3,..,..,1.1
Food Prices for Nutrition Data,FPN,Serbia,SRB,2020,YR2020,..,..,4.246,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.289,..,..,..,..,..,16.3,..,..,1.1
Food Prices for Nutrition Data,FPN,Seychelles,SYC,2017,YR2017,0.634,2.169,4.01,6.32,0.476,1.094,0.381,1.088,0.875,0.095,0.119,0.273,0.095,0.271,0.218,0.024,1.25,2.87,2.86,2.3,0.25,0.64,2.191,4.051,0.128,0.437,0.807,0.1,2.5,8.8,0,0,0
Food Prices for Nutrition Data,FPN,Seychelles,SYC,2018,YR2018,..,..,3.965,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.005,..,..,..,..,..,7.8,..,..,0
Food Prices for Nutrition Data,FPN,Seychelles,SYC,2019,YR2019,..,..,3.923,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.963,..,..,..,..,..,7.4,..,..,0
Food Prices for Nutrition Data,FPN,Seychelles,SYC,2020,YR2020,..,..,3.801,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.839,..,..,..,..,..,6.8,..,..,0
Food Prices for Nutrition Data,FPN,Sierra Leone,SLE,2017,YR2017,1.243,2.201,2.842,2.29,0.298,0.756,0.655,0.754,0.257,0.122,0.105,0.266,0.23,0.265,0.09,0.043,0.45,1.15,1.15,0.39,0.19,1.256,2.223,2.871,0.579,1.025,1.323,54.4,84.4,91.1,4.1,6.3,6.8
Food Prices for Nutrition Data,FPN,Sierra Leone,SLE,2018,YR2018,..,..,2.952,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.982,..,..,..,..,..,91.1,..,..,7
Food Prices for Nutrition Data,FPN,Sierra Leone,SLE,2019,YR2019,..,..,2.847,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.876,..,..,..,..,..,89.1,..,..,7
Food Prices for Nutrition Data,FPN,Sierra Leone,SLE,2020,YR2020,..,..,2.893,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.922,..,..,..,..,..,89.2,..,..,7.1
Food Prices for Nutrition Data,FPN,Singapore,SGP,2017,YR2017,0.751,2.024,2.775,3.7,0.615,0.605,0.519,0.611,0.324,0.102,0.222,0.218,0.187,0.22,0.117,0.037,1.18,1.17,1.18,0.62,0.2,0.759,2.044,2.803,0.148,0.4,0.548,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Singapore,SGP,2018,YR2018,..,..,2.867,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.896,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Singapore,SGP,2019,YR2019,..,..,2.936,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.966,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Singapore,SGP,2020,YR2020,..,..,3.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.095,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Sint Maarten (Dutch part),SXM,2017,YR2017,2.251,3.944,4.462,1.98,0.905,0.91,1.26,0.864,0.328,0.195,0.203,0.204,0.282,0.194,0.074,0.044,0.72,0.72,0.69,0.26,0.15,2.274,3.984,4.507,0.42,0.737,0.833,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Sint Maarten (Dutch part),SXM,2018,YR2018,..,..,4.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.778,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Sint Maarten (Dutch part),SXM,2019,YR2019,..,..,4.77,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.818,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Sint Maarten (Dutch part),SXM,2020,YR2020,..,..,5.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.414,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Slovak Republic,SVK,2017,YR2017,0.363,1.977,3.013,8.3,0.634,0.974,0.35,0.667,0.311,0.077,0.21,0.323,0.116,0.221,0.103,0.026,1.81,2.78,1.91,0.89,0.22,0.367,1.997,3.043,0.052,0.285,0.434,0.1,1.3,2,0,0.1,0.1
Food Prices for Nutrition Data,FPN,Slovak Republic,SVK,2018,YR2018,..,..,3.102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.133,..,..,..,..,..,2.4,..,..,0.1
Food Prices for Nutrition Data,FPN,Slovak Republic,SVK,2019,YR2019,..,..,3.105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.136,..,..,..,..,..,1.2,..,..,0.1
Food Prices for Nutrition Data,FPN,Slovak Republic,SVK,2020,YR2020,..,..,3.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.182,..,..,..,..,..,1.2,..,..,0.1
Food Prices for Nutrition Data,FPN,Slovenia,SVN,2017,YR2017,0.434,2.015,2.798,6.45,0.669,0.722,0.29,0.698,0.346,0.072,0.239,0.258,0.104,0.249,0.124,0.026,2.31,2.49,2.41,1.19,0.25,0.438,2.035,2.826,0.061,0.284,0.394,0,0,0.1,0,0,0
Food Prices for Nutrition Data,FPN,Slovenia,SVN,2018,YR2018,..,..,2.902,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.931,..,..,..,..,..,0.1,..,..,0
Food Prices for Nutrition Data,FPN,Slovenia,SVN,2019,YR2019,..,..,2.916,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.945,..,..,..,..,..,0.1,..,..,0
Food Prices for Nutrition Data,FPN,Slovenia,SVN,2020,YR2020,..,..,3.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.101,..,..,..,..,..,0.1,..,..,0
Food Prices for Nutrition Data,FPN,South Africa,ZAF,2017,YR2017,1.265,3.407,4.102,3.24,0.727,0.702,0.633,1.059,0.852,0.129,0.177,0.171,0.154,0.258,0.208,0.031,1.15,1.11,1.67,1.35,0.2,1.278,3.441,4.143,0.293,0.789,0.95,24,60.1,65.2,13.7,34.3,37.2
Food Prices for Nutrition Data,FPN,South Africa,ZAF,2018,YR2018,..,..,4.146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.188,..,..,..,..,..,64.8,..,..,37.5
Food Prices for Nutrition Data,FPN,South Africa,ZAF,2019,YR2019,..,..,4.198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.24,..,..,..,..,..,65,..,..,38
Food Prices for Nutrition Data,FPN,South Africa,ZAF,2020,YR2020,..,..,4.298,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.341,..,..,..,..,..,65.2,..,..,38.7
Food Prices for Nutrition Data,FPN,South Asia,SAS,2017,YR2017,0.804,2.328,3.558,..,0.842,0.729,0.422,1.076,0.318,0.172,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8,54.2,75.6,32.1,951.4,1327.5
Food Prices for Nutrition Data,FPN,South Asia,SAS,2018,YR2018,..,..,3.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.5,..,..,1289.4
Food Prices for Nutrition Data,FPN,South Asia,SAS,2019,YR2019,..,..,3.661,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.1,..,..,1278.4
Food Prices for Nutrition Data,FPN,South Asia,SAS,2020,YR2020,..,..,3.842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.3,..,..,1314.4
Food Prices for Nutrition Data,FPN,Spain,ESP,2017,YR2017,0.438,1.752,2.699,6.16,0.796,0.739,0.278,0.623,0.211,0.053,0.295,0.274,0.103,0.231,0.078,0.02,2.86,2.66,2.24,0.76,0.19,0.442,1.77,2.726,0.06,0.241,0.371,0.5,1.1,1.9,0.2,0.5,0.9
Food Prices for Nutrition Data,FPN,Spain,ESP,2018,YR2018,..,..,2.741,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.769,..,..,..,..,..,2.1,..,..,1
Food Prices for Nutrition Data,FPN,Spain,ESP,2019,YR2019,..,..,2.744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.772,..,..,..,..,..,1.9,..,..,0.9
Food Prices for Nutrition Data,FPN,Spain,ESP,2020,YR2020,..,..,2.838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.867,..,..,..,..,..,2,..,..,0.9
Food Prices for Nutrition Data,FPN,Sri Lanka,LKA,2017,YR2017,0.972,2.228,3.702,3.81,0.899,0.799,0.493,0.999,0.192,0.321,0.243,0.216,0.133,0.27,0.052,0.087,1.82,1.62,2.03,0.39,0.65,0.982,2.251,3.739,0.176,0.404,0.671,0.4,19.4,52.3,0.1,4.2,11.2
Food Prices for Nutrition Data,FPN,Sri Lanka,LKA,2018,YR2018,..,..,3.705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.742,..,..,..,..,..,48.8,..,..,10.6
Food Prices for Nutrition Data,FPN,Sri Lanka,LKA,2019,YR2019,..,..,3.667,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.704,..,..,..,..,..,45.3,..,..,9.9
Food Prices for Nutrition Data,FPN,Sri Lanka,LKA,2020,YR2020,..,..,3.923,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.963,..,..,..,..,..,49,..,..,10.7
Food Prices for Nutrition Data,FPN,St. Kitts and Nevis,KNA,2017,YR2017,0.533,2.994,2.998,5.62,0.648,0.74,0.425,0.716,0.333,0.136,0.216,0.247,0.142,0.239,0.111,0.045,1.52,1.74,1.68,0.78,0.32,0.538,3.024,3.028,0.082,0.461,0.462,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,St. Kitts and Nevis,KNA,2018,YR2018,..,..,3.179,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.211,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,St. Kitts and Nevis,KNA,2019,YR2019,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.343,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,St. Kitts and Nevis,KNA,2020,YR2020,..,..,3.405,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.439,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,St. Lucia,LCA,2017,YR2017,1.05,2.651,3.263,3.11,0.479,0.888,0.509,0.848,0.334,0.205,0.147,0.272,0.156,0.26,0.102,0.063,0.94,1.74,1.67,0.66,0.4,1.061,2.678,3.296,0.591,1.492,1.836,4.4,16.4,20.2,0,0,0
Food Prices for Nutrition Data,FPN,St. Lucia,LCA,2018,YR2018,..,..,3.399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.433,..,..,..,..,..,20.1,..,..,0
Food Prices for Nutrition Data,FPN,St. Lucia,LCA,2019,YR2019,..,..,3.517,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.553,..,..,..,..,..,20.3,..,..,0
Food Prices for Nutrition Data,FPN,St. Lucia,LCA,2020,YR2020,..,..,3.594,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.63,..,..,..,..,..,20.6,..,..,0
Food Prices for Nutrition Data,FPN,St. Vincent and the Grenadines,VCT,2017,YR2017,1.322,3.054,4.131,3.12,0.427,1.269,0.822,0.78,0.605,0.229,0.103,0.307,0.199,0.189,0.146,0.055,0.52,1.54,0.95,0.74,0.28,1.335,3.085,4.173,0.251,0.581,0.785,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,St. Vincent and the Grenadines,VCT,2018,YR2018,..,..,4.232,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.275,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,St. Vincent and the Grenadines,VCT,2019,YR2019,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.336,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,St. Vincent and the Grenadines,VCT,2020,YR2020,..,..,4.454,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.499,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Sub-Saharan Africa,SSF,2017,YR2017,0.871,2.228,3.249,..,0.542,0.843,0.528,0.934,0.256,0.146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.8,72.2,86.2,301.3,730.5,872.2
Food Prices for Nutrition Data,FPN,Sub-Saharan Africa,SSF,2018,YR2018,..,..,3.253,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.1,..,..,884.5
Food Prices for Nutrition Data,FPN,Sub-Saharan Africa,SSF,2019,YR2019,..,..,3.381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,..,..,906.6
Food Prices for Nutrition Data,FPN,Sub-Saharan Africa,SSF,2020,YR2020,..,..,3.474,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.3,..,..,933.8
Food Prices for Nutrition Data,FPN,Sudan,SDN,2017,YR2017,1.079,2.089,3.674,3.41,0.48,0.723,0.547,1.203,0.509,0.211,0.131,0.197,0.149,0.327,0.139,0.057,0.88,1.32,2.2,0.93,0.39,1.09,2.11,3.711,0.242,0.468,0.824,12.7,54.4,86.3,5.2,22.2,35.2
Food Prices for Nutrition Data,FPN,Sudan,SDN,2018,YR2018,..,..,3.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.961,..,..,..,..,..,89.1,..,..,37.3
Food Prices for Nutrition Data,FPN,Sudan,SDN,2019,YR2019,..,..,4.306,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.349,..,..,..,..,..,92.1,..,..,39.4
Food Prices for Nutrition Data,FPN,Sudan,SDN,2020,YR2020,..,..,4.308,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.352,..,..,..,..,..,91.8,..,..,40.3
Food Prices for Nutrition Data,FPN,Suriname,SUR,2017,YR2017,1.142,3.386,4.969,4.35,0.8,1.256,0.585,1.412,0.78,0.136,0.161,0.253,0.118,0.284,0.157,0.027,1.37,2.15,2.41,1.33,0.23,1.154,3.42,5.019,0.139,0.412,0.604,17.9,40.9,57.6,0.1,0.2,0.3
Food Prices for Nutrition Data,FPN,Suriname,SUR,2018,YR2018,..,..,5.223,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.276,..,..,..,..,..,55.5,..,..,0.3
Food Prices for Nutrition Data,FPN,Suriname,SUR,2019,YR2019,..,..,5.336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.39,..,..,..,..,..,56.1,..,..,0.3
Food Prices for Nutrition Data,FPN,Suriname,SUR,2020,YR2020,..,..,5.739,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.797,..,..,..,..,..,58.8,..,..,0.3
Food Prices for Nutrition Data,FPN,Sweden,SWE,2017,YR2017,0.8,2.434,3.086,3.86,0.773,0.766,0.47,0.644,0.347,0.085,0.25,0.248,0.152,0.209,0.112,0.028,1.64,1.63,1.37,0.74,0.18,0.808,2.459,3.117,0.108,0.329,0.417,0.2,0.3,0.5,0,0,0.1
Food Prices for Nutrition Data,FPN,Sweden,SWE,2018,YR2018,..,..,3.164,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.196,..,..,..,..,..,1.2,..,..,0.1
Food Prices for Nutrition Data,FPN,Sweden,SWE,2019,YR2019,..,..,3.154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.186,..,..,..,..,..,0.5,..,..,0.1
Food Prices for Nutrition Data,FPN,Sweden,SWE,2020,YR2020,..,..,3.339,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.373,..,..,..,..,..,0.6,..,..,0.1
Food Prices for Nutrition Data,FPN,Switzerland,CHE,2017,YR2017,0.418,2.101,2.523,6.04,0.577,0.743,0.212,0.675,0.249,0.067,0.229,0.294,0.084,0.268,0.099,0.027,2.72,3.5,3.18,1.17,0.32,0.422,2.122,2.548,0.055,0.278,0.333,0,0,0,0,0,0
Food Prices for Nutrition Data,FPN,Switzerland,CHE,2018,YR2018,..,..,2.591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.617,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,Switzerland,CHE,2019,YR2019,..,..,2.563,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.589,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,Switzerland,CHE,2020,YR2020,..,..,2.659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.686,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,"Taiwan, China",TWN,2017,YR2017,1.459,2.996,3.99,2.73,0.75,0.863,0.857,0.911,0.475,0.134,0.188,0.216,0.215,0.228,0.119,0.034,0.88,1.01,1.06,0.55,0.16,1.474,3.026,4.03,0.156,0.32,0.427,0,0.2,0.2,0,0.1,0.1
Food Prices for Nutrition Data,FPN,"Taiwan, China",TWN,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
