Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,Malawi,MWI,2018,YR2018,..,..,2.787,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.815,..,..,..,..,..,95.7,..,..,17.4
Food Prices for Nutrition Data,FPN,Malawi,MWI,2019,YR2019,..,..,2.989,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.019,..,..,..,..,..,96.3,..,..,17.9
Food Prices for Nutrition Data,FPN,Malawi,MWI,2020,YR2020,..,..,3.149,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.181,..,..,..,..,..,96.6,..,..,18.5
Food Prices for Nutrition Data,FPN,Malaysia,MYS,2017,YR2017,0.909,2.384,3.224,3.55,0.929,0.648,0.456,0.83,0.294,0.067,0.288,0.201,0.141,0.257,0.091,0.021,2.04,1.42,1.82,0.64,0.15,0.918,2.408,3.257,0.104,0.274,0.371,0,0.8,2.6,0,0.2,0.8
Food Prices for Nutrition Data,FPN,Malaysia,MYS,2018,YR2018,..,..,3.319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.353,..,..,..,..,..,2.1,..,..,0.7
Food Prices for Nutrition Data,FPN,Malaysia,MYS,2019,YR2019,..,..,3.412,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.446,..,..,..,..,..,1.7,..,..,0.5
Food Prices for Nutrition Data,FPN,Malaysia,MYS,2020,YR2020,..,..,3.538,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.574,..,..,..,..,..,1.9,..,..,0.6
Food Prices for Nutrition Data,FPN,Maldives,MDV,2017,YR2017,0.423,2.686,3.581,8.47,0.861,1.067,0.239,0.906,0.409,0.099,0.24,0.298,0.067,0.253,0.114,0.028,3.6,4.46,3.79,1.71,0.41,0.427,2.713,3.617,0.145,0.919,1.225,0,0.9,4.2,0,0,0
Food Prices for Nutrition Data,FPN,Maldives,MDV,2018,YR2018,..,..,3.634,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.671,..,..,..,..,..,2.4,..,..,0
Food Prices for Nutrition Data,FPN,Maldives,MDV,2019,YR2019,..,..,3.662,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.699,..,..,..,..,..,1.1,..,..,0
